zip;phase;operation_index;candidate_quote;normalized_quote;target_name;resolved_entity_id;entity_resolution_status;target_section;section_status;match_status;existing_sourcequote_id;duplicate_risk;evidence_location;evidence_excerpt_short;recommendation;needs_mael_arbitration;notes
Migration/sourcequote_effective_patch_phase1.zip;1;13;Dans le " réel ", nous avons réalisé 27 observations pour un temps moyen passé de 4 heures 30. [...] Après quelques entretiens, très ouverts et sur des questio…;dans le " réel ", nous avons réalisé 27 observations pour un temps moyen passé de 4 heures 30. [...] après quelques ent…;Observations participantes | Entretiens | Méthodologie | Terrain hors ligne;- | 0c2708df5e644ac89252ab7a85ff4230 | - | -;fuzzy-only | unique | fuzzy-only | not-found;intro_C_2 | intro_C_2d | intro_C_2e | intro_C_2f;exists | exists | exists | exists;minor-normalization;;faible;PDF 4_Introduction_generale p.46;nous avons réalisé 27 observations (cf. recension en Annexe n°2) pour un temps moyen passé de 4 heu…;retenir;oui;Coupe non signalée : " (cf. recension en Annexe n°2) " , le saut observations→entretiens est correctement marqué par [...]. Arbitrage : entité " Terrain hors ligne " introuvable.
Migration/sourcequote_effective_patch_phase1.zip;1;14;Le concept de gouvernance, centrale dans cette thèse et dans les critiques des CM qu'il nous reste à présenter, apparaît problématique dans ses acceptions acad…;le concept de gouvernance, centrale dans cette thèse et dans les critiques des cm qu'il nous reste à présenter, apparaî…;Gouvernance | II.3.1 | Concept de gouvernance;- | - | -;fuzzy-only | fuzzy-only | fuzzy-only;II.3.1->II.3.1.a;renumbered;wrong-section;;faible;PDF 6_Chapitre_2 p.186;II.3.1 D'un concept de gouvernance problématique [...] Le concept de gouvernance, centrale dans cet…;retenir-avec-correction-de-section;oui;Texte verbatim p.186 (annoncée 187) : c'est le CHAPEAU de II.3.1 (clé v110 II.3.1, id d493c4ac), AVANT le titre de II.3.1.a (p.187). La renumérotation mécanique II.3.1→II.3.1.a est fausse ici , la clé brute du patch serait, elle, correcte.
Migration/sourcequote_effective_patch_phase1.zip;1;15;Retourné positivement, le concept de gouvernance permet de faire resurgir analytiquement autorité, pouvoir, conflit, en un mot : le politique. Appliqué aux CM,…;retourné positivement, le concept de gouvernance permet de faire resurgir analytiquement autorité, pouvoir, conflit, en…;Gouvernance | Pouvoir | Conflit | Politique;- | - | - | -;fuzzy-only | fuzzy-only | fuzzy-only | fuzzy-only;II.3.1->II.3.1.a;renumbered;wrong-section;;faible;PDF 6_Chapitre_2 p.190;Retourné positivement, le concept de gouvernance permet de faire resurgir analytiquement autorité,…;retenir-avec-correction-de-section;oui;Texte verbatim p.190, DANS II.3.1.b " Retournement positif " (188-190, le titre II.3.2 tombe plus bas sur la même page). La renumérotation II.3.1→II.3.1.a est fausse ici : cible réelle = II.3.1.b (d93cb2ce).
Migration/sourcequote_effective_patch_phase1.zip;1;16;Nos recherches sur le Bogue CVE 2018 #17144 nous ont conduit à mettre au jour le nombre important de crises protocolaires que Bitcoin et sa communauté ont eu à…;nos recherches sur le bogue cve 2018 #17144 nous ont conduit à mettre au jour le nombre important de crises protocolair…;Bitcoin CVE 2018-17144 | Crises protocolaires | Gouvernance de crise;db9a125c4c7a4d03bd19d3dc8c474a9e | - | -;unique | fuzzy-only | fuzzy-only;III.2.2->III.1.2.b;renumbered;exact-match;;faible;PDF 7_Chapitre_3 p.243;Nos recherches sur le Bogue CVE 2018 #17144 nous ont conduit à mettre au jour le nombre important d…;retenir;non;Deux segments verbatim p.243, coupure marquée [...]. Renumérotation III.2.2→III.1.2.b VALIDÉE par le contenu et la TOC (titre p.243).
Migration/sourcequote_effective_patch_phase1.zip;1;17;Construite pratiquement, cette labélisation permet de catégoriser l'ensemble des bogues/failles passés ou futurs de Bitcoin. Chaque label dessine les frontière…;construite pratiquement, cette labélisation permet de catégoriser l'ensemble des bogues/failles passés ou futurs de bit…;Labélisation indigène | Vulnérabilité | Bitcoin Wiki | CVE (Common Vulnerabilities & Exposures);- | - | - | f202291ba1fd4bdca66a5d1a719d5984;not-found | fuzzy-only | fuzzy-only | unique;III.2.2->III.1.2.b;renumbered;exact-match;;faible;PDF 7_Chapitre_3 p.244;cette labélisation permet de catégoriser l'ensemble des bogues/failles passés ou futurs de Bitcoin;retenir;oui;Verbatim p.244, III.1.2.b confirmée. Arbitrage : entité " Labélisation indigène " introuvable (le Tableau 4 p.244 la nommerait pourtant).
Migration/sourcequote_effective_patch_phase2.zip;2;0;La deuxième section (II.2) sera l'occasion de préciser notre approche inscrite dans l'institutionnalisme monétaire et empruntant à l'ethnographie économique. N…;la deuxième section (ii.2) sera l'occasion de préciser notre approche inscrite dans l'institutionnalisme monétaire et e…;II.2 " Pourtant, elles font monnaie ! " : à l'aune d'un nominalisme " non étatiste " attentif aux usages | Nominalisme monetaire non etatiste | Monétisation des cryptomonnaies | Communaute de paiement / Groupe monetaire;38e637cc84f14883b96d064b8e387c0f | c4ff6f8bb34a4bc4acf61ebb16943bde | de6da7fa28334c408e51269ba447a482 | 92b00fd0ab9049cea901c66a63c8fc1f;unique | unique | unique | unique;II.2;exists;wrong-section;;faible;PDF 6_Chapitre_2 p.146;La deuxième section (II.2) sera l'occasion de préciser notre approche inscrite dans l'institutionna…;arbitrage;oui;Quasi verbatim p.146 (2 parenthèses + " (saisie par le triptyque...) " coupées sans marque) MAIS p.146 = introduction du chapitre II qui ANNONCE II.2 , la section II.2 elle-même court ~160-184. Rattacher l'annonce à II.2 est interprétatif. ATTENTION RESOLUTION : la 1re cible " II.2 « Pourtant, elles font monnaie ! » ... " résout en unique vers 38e637cc, qui est un nœud de type ThesisSection (section_key II.2) et NON un concept : un " quote supports " vers elle ferait doublon avec le " appears in section " de la même op. Une résolution unique ne garantit donc pas que la cible soit du bon genre.
Migration/sourcequote_effective_patch_phase2.zip;2;1;Bitcoin et Ethereum ont leur sphère d'activité propre, où leurs UCN offrent des prestations monétaires de paiement et de règlement exclusives, évoluant dynamiq…;bitcoin et ethereum ont leur sphère d'activité propre, où leurs ucn offrent des prestations monétaires de paiement et d…;UCN BTC | UCN ETH | Communaute de paiement / Groupe monetaire | Monétisation des cryptomonnaies;c74c47caffc64382b31bc5eb221b7db7 | b5d5510775234885a665faa665ee6960 | 92b00fd0ab9049cea901c66a63c8fc1f | de6da7fa28334c408e51269ba447a482;unique | unique | unique | unique;II.2;exists;exact-match;;faible;PDF 6_Chapitre_2 p.182;Bitcoin et Ethereum ont leur sphère d'activité propre, où leurs UCN offrent des prestations monétai…;retenir;non;Verbatim p.182, dans II.2. Les 4 entités résolues en unique.
Migration/sourcequote_effective_patch_phase2.zip;2;2;Cette dernière section poursuit notre tentative de caractérisation des CM, que sont Bitcoin et Ethereum, dans le champ de la monnaie. C'est qu'à rechercher ce…;cette dernière section poursuit notre tentative de caractérisation des cm, que sont bitcoin et ethereum, dans le champ…;Gouvernance duale | Polycentric Governance | Bitcoin | Ethereum;a432cc76f9ea4e949e374476082b89ab | a444085b9b2d4ea1aa734f7e25db6a6c | d35d720e1fa24d9fbe665a90ac0abc73 | 2956b3b87db1448f8a2ddde82d39e9c9;unique | resolved-by-synonym | unique | unique;II.3;exists;minor-normalization;;faible;PDF 6_Chapitre_2 p.185;II.3 AU-DELÀ DE LA REVENDICATION [...] Cette dernière section poursuit notre tentative de caractéri…;retenir;oui;Ouverture de II.3, p.185 (annoncée 186). Coupe non signalée : " Conclusive du chapitre II, elle ouvrira sur les problématiques centrales du chapitre III à venir. " , " vocaux ! " devient " vocaux . ". " Polycentric Governance " RESOLUE PAR TRADUCTION vers a444085b " Gouvernance polycentrique " (CoreConcept v110). Arbitrage : coupe non signalée, cf. Q7.
Migration/sourcequote_effective_patch_phase2.zip;2;3;La question posée en termes de substitution / concurrence entre les monnaies nationales et les CM n'est pas selon nous la bonne. Tout d'abord, il est faux de c…;la question posée en termes de substitution / concurrence entre les monnaies nationales et les cm n'est pas selon nous…;Gouvernance | Gouvernance duale | Crypto-actif | Cryptomonnaie (CM);- | a432cc76f9ea4e949e374476082b89ab | 926e5d2796ab4b48ae28ade2b7fcbb17 | -;fuzzy-only | unique | unique | fuzzy-only;II.3;exists;minor-normalization;;faible;PDF 6_Chapitre_2 p.202;d'aucune gouvernance, comme l'a déjà pointé notre chapitre premier. En second lieu, caractériser ce…;retenir;oui;Coupe non signalée : " , comme l'a déjà pointé notre chapitre premier ". p.202 bien dans II.3 (cible = section-mère : OK). Arbitrage : coupe non signalée, politique à trancher en Q7.
Migration/sourcequote_effective_patch_phase2.zip;2;4;N'en déplaise aux coiners, ces autres filiations des CM font que nombre d'entre eux partagent pour partie les visions monétaires de leurs critiques. Avec leur…;n'en déplaise aux coiners, ces autres filiations des cm font que nombre d'entre eux partagent pour partie les visions m…;Règle contre discrétion (Rules vs Discretion) | Monétisation des cryptomonnaies | Bitcoin;0c0929e6ef0140ad855052b0dd078f00 | de6da7fa28334c408e51269ba447a482 | d35d720e1fa24d9fbe665a90ac0abc73;unique | unique | unique;II.3.2->II.3.1.b;renumbered;wrong-section;;faible;PDF 6_Chapitre_2 p.191;N'en déplaise aux coiners*, ces autres filiations des CM font que nombre d'entre eux partagent pour…;retenir-avec-correction-de-section;oui;Quasi verbatim p.191 (coupe non signalée de " : les forces de marché ... "bonnes" en soi " , le PDF porte " de leur critiques ", sic). p.191 est DANS II.3.2 v110 " Quand les CM réactivent un débat monétaire ancien " (titre p.190), PAS II.3.1.b issue de la renumérotation. Ici la clé brute II.3.2 du patch est correcte et la carte de renumérotation a tort.
Migration/sourcequote_effective_patch_phase2.zip;2;5;À l'inverse, cette absence de gouvernance conçue comme absolument désirable par certains coiners est, pour les académiques, la marque rédhibitoire qu'elles ne…;à l'inverse, cette absence de gouvernance conçue comme absolument désirable par certains coiners est, pour les académiq…;Absence de gouvernance | Cryptomonnaie (CM) | Règle contre discrétion (Rules vs Discretion);- | - | 0c0929e6ef0140ad855052b0dd078f00;fuzzy-only | fuzzy-only | unique;II.3.2->II.3.1.b;renumbered;wrong-section;;faible;PDF 6_Chapitre_2 p.196;cette absence de gouvernance conçue comme absolument désirable par certains coiners est, pour les a…;retenir-avec-correction-de-section;oui;Verbatim p.196, sous " Pour les coiners : une absence de gouvernance... " (p.196) : DANS II.3.2 v110, pas II.3.1.b. Même correction que l'op précédente : garder la clé II.3.2, ignorer la renumérotation.
Migration/sourcequote_effective_patch_phase2.zip;2;6;Pourtant, les codes Bitcoin, constituant sa gouvernance par le protocole, sont faillibles et dès qu'ils sont reconnus comme ne correspondant pas aux attentes d…;pourtant, les codes bitcoin, constituant sa gouvernance par le protocole, sont faillibles et dès qu'ils sont reconnus c…;Gouvernance par l'infrastructure | Gouvernance sur l'infrastructure | Gouvernance de huis clos | Politique de crise;ac80b824dedc47419211e4393dfcd681 | e22205f327564c608c4710150bbac16b | a22f20aea49d4f86ab927e9c71d0a850 | 06099088d8e14f7c8596a4f9fc8d3193;unique | unique | unique | unique;III.2;exists;minor-normalization;;faible;PDF 7_Chapitre_3 p.254;une gouvernance sur le protocole, renvoyant à des activités humaines, médiatisées des dispositifs s…;retenir;oui;INSERTION, PAS COUPE : le candidat ajoute " par " (" médiatisées par des dispositifs ") là où la thèse porte " médiatisées des dispositifs " (coquille d'auteur, p.254). Corriger une coquille dans une citation dite verbatim est un choix d'édition : arbitrage requis, rattaché à Q7. Ouverture de III.2 (titre p.254) : section et page exactes.
Migration/sourcequote_effective_patch_phase2.zip;2;7;Ainsi, les deux types de procédures d'évolution de Bitcoin assurent la production d'un consensus, mais leurs formes diffèrent. Là où un BIP impose de mobiliser…;ainsi, les deux types de procédures d'évolution de bitcoin assurent la production d'un consensus, mais leurs formes dif…;BIP (Bitcoin Improvement Proposal) | Bitcoin Core (repo) | Gouvernance de huis clos | Core Developers (Bitcoin);05dae3dc59784e53bf5f7eb6a4d8030e | 5d6203275f6a40ddb8ede1d7c01cad1e | a22f20aea49d4f86ab927e9c71d0a850 | 7b29b0d2d8404396bbaa5742e07d8f21;unique | unique | unique | unique;III.2;exists;exact-match;;faible;PDF 7_Chapitre_3 p.281;Là où un BIP impose de mobiliser l'ensemble des composantes communautaires de Bitcoin, la procédure…;retenir;non;Verbatim p.281, dans III.2. Les 4 entités résolues en unique.
Migration/sourcequote_effective_patch_phase2.zip;2;8;Cette famille d'interventions nous place dans une crise d'évolution à gouvernance publique. La controverse ouverte immédiatement au déclenchement de la crise m…;cette famille d'interventions nous place dans une crise d'évolution à gouvernance publique. la controverse ouverte immé…;Gouvernance publique et ouverte | Hard Fork | Soft Fork | Core Developers (Ethereum) | The DAO;73b638dd42ef432fbc15fe98026e65e3 | a8108e74b9d9483bb66d929e347fd7bd | 7983b60ea7bc40aeb128c3062c4dfaa2 | c5f0d6a944544c3c93bdd731dbc83096 | ed7b68eeb3114b32a7ab0baabd62cc5a;unique | unique | unique | unique | unique;III.3.3;exists;minor-normalization;;faible;PDF 7_Chapitre_3 p.317;Cette famille d'interventions nous place dans une crise d'" évolution " à gouvernance publique (don…;retenir;oui;Coupes non signalées : " (donc dans un cadre proche de la procédure des BIP synthétisée en Figure 13) " et " et sans être à l'époque formellement encadré " , guillemets internes perdus. p.317 bien dans III.3.3 (314-321). Arbitrage : coupes non signalées dont " et sans être à l'époque formellement encadré ", qui retire une réserve de fond, et les guillemets perdus de " huis clos " : cas le plus net de la série. Politique à trancher en Q7.
Migration/sourcequote_effective_patch_phase2.zip;2;9;De bonnes pratiques et des procédures d'expression des désaccords et d'élaboration de consensus ad hoc ont été institutionnalisées : la procédure des EIP, insp…;de bonnes pratiques et des procédures d'expression des désaccords et d'élaboration de consensus ad hoc ont été institut…;EIP (Ethereum Improvement Proposal) | BIP (Bitcoin Improvement Proposal) | All Core Dev Meetings (Ethereum) | Gouvernance publique et ouverte | Ethereum;dea76780ff6843e4a12e9604a117baac | 05dae3dc59784e53bf5f7eb6a4d8030e | 8a76b0da92254d76a4a330ddb8b40e4c | 73b638dd42ef432fbc15fe98026e65e3 | 2956b3b87db1448f8a2ddde82d39e9c9;unique | unique | unique | unique | unique;III.3.3;exists;wrong-section;;faible;PDF 7_Chapitre_3 p.328;" la gouvernance sur Ethereum, elle fonctionne vraiment avec des signaux " [S. Polrot, Entretien n°…;retenir-avec-correction-de-section;oui;Quasi verbatim p.328 (coupe non signalée de la référence aux entretiens de Tychet/Summerwill , citation Polrot tronquée en fin). MAIS p.328 est dans III.3.4 " Fork You ?! " (322-328), pas III.3.3 (314-321) : correction de cible vers III.3.4.
Migration/sourcequote_effective_patch_phase3.zip;3;0;Cette chronologie, dévoilant l'invisible carnavalesque de l'infrastructure Bitcoin et de son développement, en saisit le caractère irréductiblement composite e…;cette chronologie, dévoilant l'invisible carnavalesque de l'infrastructure bitcoin et de son développement, en saisit l…;Bitcoin | Seamless Infrastructure | Développement infrastructurel par phases | Motif arlequin / Tissu sans couture | Etudes infrastructurelles;d35d720e1fa24d9fbe665a90ac0abc73 | - | f5fb37b1a7344ee588bc8740bf038e7a | ccc4ed32a02a4d0e9d9d69bce522cbf5 | 504644ee3f7a4253b88b6139f239693a;unique | fuzzy-only | unique | unique | unique;I.2 | I.2.1;exists | exists;duplicate-existing;8f150b5df798487e860c4853930241bf;eleve;PDF 5_Chapitre_1 p.89;Cette chronologie, dévoilant l'invisible carnavalesque de l'infrastructure Bitcoin et de son dévelo…;completer-l-existante;oui;Candidat verbatim p.89 (sections I.2/I.2.1 OK). L'existante 8f150b5d = 1re phrase seule, verbatim strict , le candidat ajoute la 2e phrase (" Elle illustre à quel point... "). Doublon partiel : compléter l'existante plutôt que créer.
Migration/sourcequote_effective_patch_phase3.zip;3;1;Si Bitcoin porte quelque fonction monétaire et financière, encore doit-il être autre chose qu'une curiosité technique, toucher des publics plus larges que ses…;si bitcoin porte quelque fonction monétaire et financière, encore doit-il être autre chose qu'une curiosité technique,…;Développement infrastructurel par phases | Bitcoin | Transactions | Seamless Infrastructure;f5fb37b1a7344ee588bc8740bf038e7a | d35d720e1fa24d9fbe665a90ac0abc73 | - | -;unique | unique | fuzzy-only | fuzzy-only;I.2.1;exists;exact-match;;faible;PDF 5_Chapitre_1 p.89;Si Bitcoin porte quelque fonction monétaire et financière, encore doit-il être autre chose qu'une c…;retenir;non;Verbatim p.89 (y compris " C'est un processus " avec l'apostrophe atypique du PDF), I.2.1 OK.
