entity_id;canonical_name;entity_type;alias;alias_kind;confidence;collision_with;evidence;notes
05dae3dc59784e53bf5f7eb6a4d8030e;BIP (Bitcoin Improvement Proposal);Concept;Bitcoin Improvement Proposal;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (5 occ.) + glose entre parentheses du nom canonique v110 + assets/MD (10 occ.);forme anglaise declaree par le graphe lui-meme
053d10d3a5b142778f078e3e2dfe79f4;Barrière à l'entrée (minage);Concept;Barrière à l'entrée;short-form;haute;;nom canonique v110 prive de sa parenthese;
053d10d3a5b142778f078e3e2dfe79f4;Barrière à l'entrée (minage);Concept;Mining barrier to entry;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
ef2f7216f1e240638d724bfedcab0eb7;Bimétallisme numérique;Concept;Digital bimetallism;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
b6a238b0216640afac0397b8250e00fc;Bit Gold (Szabo 1998-2005);Concept;Bit Gold;short-form;haute;;nom canonique v110 prive de sa parenthese;
fe8a3378adf04e81bd934293081daeb9;Bitcoin Maximalisme;Concept;Bitcoin maximalism;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
a742fa34c7c14da38d0867fe80bc309d;BlackNet (Tim May 1992);Concept;BlackNet;short-form;haute;;nom canonique v110 prive de sa parenthese;
e30beed602fb4d60814946c70db0713b;Bloc empoisonné (poisoned block);Concept;Bloc empoisonné;short-form;haute;;nom canonique v110 prive de sa parenthese;
e30beed602fb4d60814946c70db0713b;Bloc empoisonné (poisoned block);Concept;DoS attack;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (3 occ.);forme anglaise declaree par le graphe lui-meme
e30beed602fb4d60814946c70db0713b;Bloc empoisonné (poisoned block);Concept;Poisoned block;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (1 occ.);forme anglaise declaree par le graphe lui-meme
b92e4f953583499ea809b48c207471ff;Blockchain sans Bitcoin (narratif technologique);Concept;Blockchain sans Bitcoin;short-form;haute;;nom canonique v110 prive de sa parenthese;
b92e4f953583499ea809b48c207471ff;Blockchain sans Bitcoin (narratif technologique);Concept;Blockchain-without-Bitcoin narrative;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
7b563a52de7f4beba9992a0d59e9092a;Bootstrapping monétaire;Concept;Monetary bootstrapping;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
cafbc70f0eb344e1818e0ba96df30e29;Bourses d'échange;StakeholderCategory;Bourse d’échange;spelling-variant;moyenne;;patch SourceQuote (phase1, statut=fuzzy-only, x1);faux negatif du resolveur : nom employe par un patch reel, non resolu contre v110 — cible arbitree a la main, ne pas resoudre automatiquement
5479509f9ca84a06a2aa3a9a2e63f1f8;Bourses d'échange (exchanges);StakeholderCategory;Bourses d'échange;short-form;basse;cafbc70f0eb344e1818e0ba96df30e29;nom canonique v110 prive de sa parenthese;COLLISION EXACTE : nom d'une autre entite v110 (Bourses d'échange / StakeholderCategory) — ALIAS AMBIGU : designe aussi Bourses d'échange (segment) — ne jamais resoudre automatiquement sur cette chaine
5d5a5c91468f4bcc8d078001a5abc240;CM Bitcoin-Like;Concept;Bitcoin-like cryptocurrency;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
881dd0f54e0747f2b3737ba34fc30693;CM comme « meilleures » monnaies (prétention coiner);Concept;CM comme « meilleures » monnaies;short-form;haute;;nom canonique v110 prive de sa parenthese;
92b63798d91b4c99bef87aea0e76f63c;Cadre IAD / SES (Ostrom);Concept;Cadre IAD / SES;short-form;haute;;nom canonique v110 prive de sa parenthese;
92b63798d91b4c99bef87aea0e76f63c;Cadre IAD / SES (Ostrom);Concept;Cadre IAD/SES;spelling-variant;haute;;attribut aliases (v110);
92b63798d91b4c99bef87aea0e76f63c;Cadre IAD / SES (Ostrom);Concept;IAD;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (4 occ.);forme anglaise declaree par le graphe lui-meme
92b63798d91b4c99bef87aea0e76f63c;Cadre IAD / SES (Ostrom);Concept;SES Framework;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (3 occ.);forme anglaise declaree par le graphe lui-meme
ec670f2fe86d4981b20be3e45a79ed7e;Canal de dernier ressort (last resort channel);Concept;Last resort channel;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
6328d2b9f86b4d7b976887349a7dc4f9;Canal de paiement bidirectionnel (Lightning Network);Concept;Canal de paiement bidirectionnel;short-form;haute;;nom canonique v110 prive de sa parenthese;
6328d2b9f86b4d7b976887349a7dc4f9;Canal de paiement bidirectionnel (Lightning Network);Concept;Payment channel;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
7c068f492b494dcc98ea316b509ff0b7;Capability — Artefact culturel (Casascius);Capability;Artefact culturel (Casascius);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
7c068f492b494dcc98ea316b509ff0b7;Capability — Artefact culturel (Casascius);Capability;Capability — Artefact culturel;short-form;haute;;nom canonique v110 prive de sa parenthese;
2fbd8b66edb24fe08176047133aee2e3;Capability — Cadeau physique / diffusion sociale (Casascius);Capability;Cadeau physique / diffusion sociale (Casascius);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
2fbd8b66edb24fe08176047133aee2e3;Capability — Cadeau physique / diffusion sociale (Casascius);Capability;Capability — Cadeau physique / diffusion sociale;short-form;haute;;nom canonique v110 prive de sa parenthese;
d5113574db884ea296f755f89c3b86c7;Capability — Diversité des clients Ethereum;Capability;Diversité des clients Ethereum;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
a07e9ce1fd344cbb9bcbb8569f413e7f;Capability — HD Wallets (BIP-32);Capability;BIP-32;spelling-variant;haute;;glose entre parentheses du nom canonique v110;
a07e9ce1fd344cbb9bcbb8569f413e7f;Capability — HD Wallets (BIP-32);Capability;Capability — HD Wallets;short-form;haute;;nom canonique v110 prive de sa parenthese;
a07e9ce1fd344cbb9bcbb8569f413e7f;Capability — HD Wallets (BIP-32);Capability;HD Wallets (BIP-32);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
9571956204ea46c0a61f41c2b3c988f7;Capability — Hashed Timelock Contract (HTLC);Capability;Capability — Hashed Timelock Contract;short-form;haute;;nom canonique v110 prive de sa parenthese;
9571956204ea46c0a61f41c2b3c988f7;Capability — Hashed Timelock Contract (HTLC);Capability;HTLC;spelling-variant;haute;;glose entre parentheses du nom canonique v110 + assets/MD (2 occ.);
9571956204ea46c0a61f41c2b3c988f7;Capability — Hashed Timelock Contract (HTLC);Capability;Hashed Timelock Contract (HTLC);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
8d4b6329201644bc969eaf0434462e36;Capability — Liquidité dollar synthétique (USDT);Capability;Capability — Liquidité dollar synthétique;short-form;haute;;nom canonique v110 prive de sa parenthese;
8d4b6329201644bc969eaf0434462e36;Capability — Liquidité dollar synthétique (USDT);Capability;Liquidité dollar synthétique (USDT);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
8d4b6329201644bc969eaf0434462e36;Capability — Liquidité dollar synthétique (USDT);Capability;USDT;spelling-variant;basse;e23b3f521e7a44e6bb87cbedc2aa2088;glose entre parentheses du nom canonique v110 + assets/MD (19 occ.);COLLISION EXACTE : nom d'une autre entite v110 (USDT / Organization)
f38c133912434110920093c16b4ce1bc;Capability — Minage industriel ASIC;Capability;Minage industriel ASIC;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
a7c83c1a0c06485da0024c8397492752;Capability — Notarisation et horodatage Bitcoin;Capability;Notarisation et horodatage Bitcoin;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
be6fc1153e8a4c759a4560243befd61c;Capability — Pay-to-Script-Hash (P2SH);Capability;Capability — Pay-to-Script-Hash;short-form;haute;;nom canonique v110 prive de sa parenthese;
be6fc1153e8a4c759a4560243befd61c;Capability — Pay-to-Script-Hash (P2SH);Capability;P2SH;spelling-variant;haute;;glose entre parentheses du nom canonique v110 + assets/MD (2 occ.);
be6fc1153e8a4c759a4560243befd61c;Capability — Pay-to-Script-Hash (P2SH);Capability;Pay-to-Script-Hash (P2SH);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
8f71d1cbe6fb424eac4200dbbc1c34c9;Capability — Transfert physique off-chain (Casascius);Capability;Capability — Transfert physique off-chain;short-form;haute;;nom canonique v110 prive de sa parenthese;
8f71d1cbe6fb424eac4200dbbc1c34c9;Capability — Transfert physique off-chain (Casascius);Capability;Transfert physique off-chain (Casascius);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
4ab7376c307f4268a02ee135b023001a;Carnavalesque comme lecture analytique;Argument;Carnivalesque as analytical reading;translation-en;haute;;attribut labelEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
1ec92dbbf42d4d5cbc23f35fe3ec0e64;Casper (recherche Proof of Stake Ethereum, Zamfir);Concept;Casper;short-form;haute;;nom canonique v110 prive de sa parenthese;
bfc36f985ef64226b2d554b8cf9d18cd;Ciblage d'inflation (Inflation Targeting);Concept;Inflation Targeting;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (5 occ.) + glose entre parentheses du nom canonique v110 + assets/MD (5 occ.);forme anglaise declaree par le graphe lui-meme
e52429fb249e4dab8b4c4da12635163f;Classe d actif (Bitcoin comme);Concept;Asset class;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (1 occ.);forme anglaise declaree par le graphe lui-meme
e52429fb249e4dab8b4c4da12635163f;Classe d actif (Bitcoin comme);Concept;Classe d actif;short-form;haute;;nom canonique v110 prive de sa parenthese;
c811ae9bc42d4760a9c39709076325ba;Client lourd / client leger (full node / SPV wallet);Concept;Full node;translation-en;basse;;attribut nameEn de l'entite (v110) + assets/MD EN (5 occ.);forme anglaise declaree par le graphe lui-meme — ALIAS AMBIGU : designe aussi Nœud complet (full node) — ne jamais resoudre automatiquement sur cette chaine
c811ae9bc42d4760a9c39709076325ba;Client lourd / client leger (full node / SPV wallet);Concept;SPV wallet;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
7433329eb29f4702be6e32160f4341d5;Coin age (âge des pièces, PoS);Concept;Coin age;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (5 occ.) + nom canonique v110 prive de sa parenthese;forme anglaise declaree par le graphe lui-meme
61e8b86323f1e019d395d87e8f08e47f;Common Pool Resources;Concept;CPR;spelling-variant;haute;;attribut aliases (v110);
61e8b86323f1e019d395d87e8f08e47f;Common Pool Resources;Concept;Common Pool Resource;spelling-variant;haute;;attribut aliases (v110);
92b00fd0ab9049cea901c66a63c8fc1f;Communaute de paiement / Groupe monetaire;Concept;Payment Community;translation-en;haute;;attribut indigeneLabel (v110) — designation indigene + assets/MD (27 occ.);libelle employe par les acteurs eux-memes
3ecc025a3f6745ba85e3b46ecd90901b;Communauté épistémique;Concept;Epistemic Community;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (4 occ.);forme anglaise declaree par le graphe lui-meme
1fc737f7cde3481cad33cab26dc381e4;Communs numériques;Concept;Digital Commons;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (2 occ.);forme anglaise declaree par le graphe lui-meme
d9cbeb9053194544b2a6efc5e1277854;Concept — Canal financier et monétaire auxiliaire;Concept;Canal financier et monétaire auxiliaire;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
c149df7c23504f61b048c92e25d4d448;Concept — Conformité réglementaire;Concept;Conformité réglementaire;short-form;basse;3960e7b3294c4364bca1b046734ef886;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources — COLLISION EXACTE : nom d'une autre entite v110 (Conformité réglementaire / InfrastructureDomain)
55fe068d49e04e379fa6b0ccfcd3b3e0;Concept — Demande des UCN BTC;Concept;Demande des UCN BTC;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
68999dd6e7d64457b1f9a77ebd61a3e2;Concept — Dilemme de la « poule et de l’œuf » de la valeur des UCN;Concept;Dilemme de la « poule et de l’œuf » de la valeur des UCN;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
c327e51615ca43a5bae0ff13bd2c1bcb;Concept — Distribution initiale de bitcoins;Concept;Distribution initiale de bitcoins;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
a58d61a8fbb24b94af41ffcda9c147d8;Concept — Découverte du prix (price discovery) de Bitcoin;Concept;Découverte du prix (price discovery) de Bitcoin;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
50691d10d9794d1fa8dbee96558bc48b;Concept — Expérimentation du protocole;Concept;Expérimentation du protocole;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
cf44312c32734899b2de9c7efdf1e3c2;Concept — Lightning Network;Concept;Lightning Network;short-form;basse;6213eb5f73954b8e957f5649a854c578;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources — COLLISION EXACTE : nom d'une autre entite v110 (Lightning Network / Protocol)
1457c3a130204346b3e3919b88fd10f3;Concept — Liquidité du marché Bitcoin;Concept;Liquidité du marché Bitcoin;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
8f8adbbb5da5460eaacedc696259ce56;Concept — Offre des UCN BTC;Concept;Offre des UCN BTC;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
fd337ea6749747b3a9f576ee3c3488a1;Concept — Passerelle fiat (gateway) Bitcoin;Concept;Passerelle fiat (gateway) Bitcoin;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
944ea610bc09480fbefccb064b48d192;Concept — Preuve d'usage économique;Concept;Preuve d'usage économique;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
f608f24486464db7af3b43a2e014948f;Concept — Revenus et commissions de marché;Concept;Revenus et commissions de marché;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
ec999565ab0e4474a00a79a2dd6f705e;Concept — Séquestre non centralisé (escrow);Concept;Concept — Séquestre non centralisé;short-form;haute;;nom canonique v110 prive de sa parenthese;
ec999565ab0e4474a00a79a2dd6f705e;Concept — Séquestre non centralisé (escrow);Concept;Séquestre non centralisé (escrow);short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
a6d2b7e9dee94a32b6e442824d889e9d;Concept — Usages réels de Bitcoin;Concept;Usages réels de Bitcoin;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
cd5fe8d501bd468abd0be818a6237cd0;Concept — Volume de transactions;Concept;Volume de transactions;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
9e63b6e996b3416dbcc1a94f8ff0ae50;Confiance monetaire;Concept;Monetary Trust;translation-en;haute;;attribut indigeneLabel (v110) — designation indigene + assets/MD (1 occ.);libelle employe par les acteurs eux-memes
d3db9a3bd38441f48ef0e79eecb44bb0;Conflit DAO Fork (2016);GovernanceConflict;Conflit DAO Fork;short-form;haute;;nom canonique v110 prive de sa parenthese;
3960e7b3294c4364bca1b046734ef886;Conformité réglementaire;InfrastructureDomain;Regulatory compliance;translation-en;haute;;proposition;traduction proposee, absente du graphe
5e14740096bb483a98711a1ead675d43;Contournement des rails bancaires (stablecoin);Concept;Contournement des rails bancaires;short-form;haute;;nom canonique v110 prive de sa parenthese;
758e9ca93d00591b0a077b2d4f0125eb;Controverse statut monétaire des cryptomonnaies;Concept;Controverse sur le statut monétaire;spelling-variant;haute;;patch SourceQuote (phase1, statut=not-found, x1);faux negatif du resolveur : nom employe par un patch reel, non resolu contre v110
7b29b0d2d8404396bbaa5742e07d8f21;Core Developers (Bitcoin);StakeholderGroup;Core Developers;short-form;basse;;nom canonique v110 prive de sa parenthese;ALIAS AMBIGU : designe aussi Core Developers (Ethereum) — ne jamais resoudre automatiquement sur cette chaine
c5f0d6a944544c3c93bdd731dbc83096;Core Developers (Ethereum);StakeholderGroup;Core Developers;short-form;basse;;nom canonique v110 prive de sa parenthese;ALIAS AMBIGU : designe aussi Core Developers (Bitcoin) — ne jamais resoudre automatiquement sur cette chaine
e5a2157fc33440afb5119ddf807bc6b0;Corpus données quantitatives Bitcoin (Annexe II);Corpus;Corpus données quantitatives Bitcoin;short-form;haute;;nom canonique v110 prive de sa parenthese;
71c28bb62a474820875a8ba16de2aa10;Corpus données quantitatives Ethereum (Annexe III);Corpus;Annexe III;spelling-variant;haute;;glose entre parentheses du nom canonique v110 + assets/MD (4 occ.);
71c28bb62a474820875a8ba16de2aa10;Corpus données quantitatives Ethereum (Annexe III);Corpus;Corpus données quantitatives Ethereum;short-form;haute;;nom canonique v110 prive de sa parenthese;
ffc480d571bf41fa9f1bff3519ce5e32;Corpus littérature grise;Corpus;Grey literature corpus;translation-en;haute;;proposition;traduction proposee, absente du graphe
ffc480d571bf41fa9f1bff3519ce5e32;Corpus littérature grise;Corpus;Littérature grise;short-form;basse;;patch SourceQuote (phase1, statut=fuzzy-only, x1);ARBITRAGE R1c (Mael, 2026-08-07) : degrade de haute a basse. Evidence CIRCULAIRE — l'alias ne prouve que « un patch l'a ecrit », et il resout un CONCEPT vers un CORPUS, ce qui engage une categorie. Ne jamais resoudre automatiquement dessus.
5cf3c3e7fefd424280ef88908b0add9b;Crise d'évolution;Concept;Crises d’évolution;spelling-variant;haute;;patch SourceQuote (phase1/phase3, statut=fuzzy-only, x3);faux negatif du resolveur : nom employe par un patch reel, non resolu contre v110
5cf3c3e7fefd424280ef88908b0add9b;Crise d'évolution;Concept;Evolution Crisis;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (2 occ.);forme anglaise declaree par le graphe lui-meme
7c6a36aeea924f209742c220507917e2;Crise de DOS (denial-of-service);Concept;DoS Attack;translation-en;haute;;attribut indigeneLabel (v110) — designation indigene + assets/MD (3 occ.);libelle employe par les acteurs eux-memes
cbf51f368ab14bc09d7c9501abcb7d41;Crise de faux monnayage;Concept;Inflation Bug Crisis;observed-in-source;haute;;attribut indigeneLabel (v110) — designation indigene;libelle employe par les acteurs eux-memes
68c6592878a34164a5a37edc8c49382d;Crise de vulnérabilité;Concept;Crises de vulnérabilité;spelling-variant;haute;;patch SourceQuote (phase1/phase3, statut=fuzzy-only, x3);faux negatif du resolveur : nom employe par un patch reel, non resolu contre v110
68c6592878a34164a5a37edc8c49382d;Crise de vulnérabilité;Concept;Vulnerability Crisis;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (3 occ.);forme anglaise declaree par le graphe lui-meme
68c6592878a34164a5a37edc8c49382d;Crise de vulnérabilité;Concept;Vulnerability crisis;translation-en;haute;;proposition + assets/MD EN (3 occ.);
923f4b0fd9894482a767e69a115b2799;Crises comme épreuves d’explicitation;NarrativeCluster;Crises as trials of explicitation;translation-en;haute;;attribut labelEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
6ba73da9cdff4ca0bd94e11b314f2b4b;Crises comme épreuves d’explicitation (non téléologiques);Argument;Crises as non-teleological trials of explicitation;translation-en;haute;;attribut labelEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
6ba73da9cdff4ca0bd94e11b314f2b4b;Crises comme épreuves d’explicitation (non téléologiques);Argument;Crises comme épreuves d’explicitation;spelling-variant;basse;923f4b0fd9894482a767e69a115b2799;attribut labelFr (v110) + nom canonique v110 prive de sa parenthese;COLLISION EXACTE : nom d'une autre entite v110 (Crises comme épreuves d’explicitation / NarrativeCluster)
7c752c3cc7be4528baddec7660f39c1a;Critique symétrique des essentialismes monétaires;Argument;Symmetric critique of monetary essentialisms;translation-en;haute;;attribut labelEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
51ddbdfd70254c0490411f8e6b736927;Critique symétrique des ontologies monétaires substantielles;NarrativeCluster;Symmetric critique of substantive monetary ontologies;translation-en;haute;;attribut labelEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
5f9eebaf04334e24a113375193513c32;Custodial vs non-custodial (wallet);Concept;Custodial;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (10 occ.);forme anglaise declaree par le graphe lui-meme
5f9eebaf04334e24a113375193513c32;Custodial vs non-custodial (wallet);Concept;non-custodial;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (7 occ.);forme anglaise declaree par le graphe lui-meme
45bdbea2b9ec4c43a21ed9596e1764f9;Cycles bull/bear (marches haussiers/baissiers);Concept;Bull/bear cycle;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
45bdbea2b9ec4c43a21ed9596e1764f9;Cycles bull/bear (marches haussiers/baissiers);Concept;Cycles bull/bear;short-form;haute;;nom canonique v110 prive de sa parenthese;
9166772f6004463ea6769f857f94dc97;DAO — Déclenchement;CrisisPhase;Déclenchement;spelling-variant;haute;;attribut labelFr (v110);
34a461c64ae64483a980a5d34d9cdf56;DAO — Remise en ordre;CrisisPhase;Remise en ordre;spelling-variant;haute;;attribut labelFr (v110);
094caf2b65fe4f7f80d813df0f960ebd;DEX (bourse décentralisée);Concept;DEX;acronym;haute;;nom canonique v110 prive de sa parenthese + assets/MD (8 occ. en limites de mots);forme courte tres ambigue hors contexte : ne jamais resoudre sur ce seul jeton
094caf2b65fe4f7f80d813df0f960ebd;DEX (bourse décentralisée);Concept;Decentralized exchange;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (1 occ.);forme anglaise declaree par le graphe lui-meme
bcd35e44c5234474a0189ee94b9f43ee;Decouverte du prix (price discovery);Concept;Price discovery;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (1 occ.);forme anglaise declaree par le graphe lui-meme
c4f5fb32e66343fcb9f0fc10931aed7f;Dependance au sentier (path dependency);Concept;Dependance au sentier;short-form;haute;;nom canonique v110 prive de sa parenthese;
c4f5fb32e66343fcb9f0fc10931aed7f;Dependance au sentier (path dependency);Concept;Path dependency;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (1 occ.);forme anglaise declaree par le graphe lui-meme
f36a2cc8e26542cf990b587e13d4f178;Dilemme de la poule et de l'œuf (bootstrapping monétaire);Concept;Dilemme de la poule et de l'œuf;short-form;basse;;nom canonique v110 prive de sa parenthese;ALIAS AMBIGU : designe aussi Dilemme de la poule et de l'œuf (valeur BTC) — ne jamais resoudre automatiquement sur cette chaine
f36a2cc8e26542cf990b587e13d4f178;Dilemme de la poule et de l'œuf (bootstrapping monétaire);Concept;Dilemme poule/œuf , chicken-and-egg problem;observed-in-source;haute;;attribut indigeneLabel (v110) — designation indigene;libelle employe par les acteurs eux-memes
afc0d50c564647839eaf83ccbae5a463;Discretion contrainte;Concept;Constrained Discretion;spelling-variant;haute;;attribut aliases (v110);
afc0d50c564647839eaf83ccbae5a463;Discretion contrainte;Concept;Discrétion contrainte;spelling-variant;haute;;attribut aliases (v110);
7ee960755783430c9db0bb016e87b78b;Disponibilité;Concept;Disponibilite;spelling-variant;haute;;attribut aliases (v110);
32ccbd7ff4d6469db9d5977db5ac112e;Distributeurs de bitcoin (ATM);InfrastructureSegment;ATM;spelling-variant;haute;;glose entre parentheses du nom canonique v110 + assets/MD (4 occ.);
32ccbd7ff4d6469db9d5977db5ac112e;Distributeurs de bitcoin (ATM);InfrastructureSegment;Distributeurs de bitcoin;short-form;haute;;nom canonique v110 prive de sa parenthese;
