id_csv;statut;score;intitule;date_csv;date_iso;precision;phase;nature;crise;systeme;domaine_8;entite_graphe;id_graphe;date_graphe;motif;reserve_csv;source
E057;TOO_AMBIGUOUS;0.0;Devcon-0 (Berlin);2014-11-24;2014-11-24;jour;maturation;acte;non;ethereum;vii;;;;donnees CSV insuffisantes : libelle trop pauvre;;ch.I l.399
E001;ALREADY_IN_GRAPH;1.1;Depot du nom de domaine bitcoin.org;2008-07-18;2008-07-18;jour;poc;acte;non;bitcoin;iv*;InfrastructureEvent — Dépôt du nom de domaine bitcoin.org;8c6539857956431cb3e82ac1e0548a55;2008-07-18;equivalent clair (jaccard 1.0, ancres ['DEPOT']), dates compatibles;l.113 situe l'enregistrement en janv. 2009;ch.I l.265 + l.113
E002;ALREADY_IN_GRAPH;0.85;Publication du WP via la Cryptography Mailing List;2008-10-31;2008-10-31;jour;poc;acte;non;bitcoin;iv*;InfrastructureEvent — Publication du WP Bitcoin (mailing list);ab2449a123164aa3adff6b180035c327;2008-10-31;equivalent clair (jaccard 0.6, ancres ['PUBLICATION', 'WP']), dates compatibles;;ch.I l.113
E004;ALREADY_IN_GRAPH;0.75;Publication du client Bitcoin-Qt v0.1;2009-01-09;2009-01-09;jour;poc;acte;non;bitcoin;iii;InfrastructureEvent — Publication du code Bitcoin v0.1;6c92b4f54bb54499b7e2d2c0625fccf7;2009-01-09;equivalent clair (jaccard 0.4, ancres ['PUBLICATION']), dates compatibles;;ch.I l.269
E005;ALREADY_IN_GRAPH;0.75;Fondation du forum Bitcointalk;2009-01;2009-01;mois;poc;acte;non;bitcoin;iv*;InfrastructureEvent — Nakamoto crée le forum Bitcointalk;06ac37fc6cf24af49ec79ec265159ad8;2009-11-22;equivalent clair (jaccard 0.4, ancres ['BITCOINTALK']), dates compatibles;;ch.I l.113
E006;ALREADY_IN_GRAPH;0.95;Premiere transaction (10 BTC - Nakamoto vers Finney);2009-01-12;2009-01-12;jour;poc;acte;non;bitcoin;i*;InfrastructureEvent — Première transaction Bitcoin (Nakamoto → Finney);fb0bb535e9014c58b7fb73151258f67b;2009-01-12;equivalent clair (jaccard 0.5, ancres ['FINNEY', 'NAKAMOTO', 'PREMIERE']), dates compatibles;;ch.I l.265
E007;ALREADY_IN_GRAPH;0.85;Premier echange BTC/dollar (Malmi - NewLibertyStandard);2009-10-12;2009-10-12;jour;poc;acte;non;bitcoin;i*;InfrastructureEvent — Premier échange BTC/$ (NewLibertyStandard);66a591458af644a9a0a83a0565e02488;2009-10-05;equivalent clair (jaccard 0.67, ancres ['NEWLIBERTYSTANDARD', 'PREMIER']), dates compatibles;;ch.I n.75 l.609
E008;ALREADY_IN_GRAPH;0.75;Lancement de MtGox (McCaleb);2010;2010;annee;poc;acte;non;bitcoin;i*;InfrastructureEvent — Première bourse d’échange importante (MtGox);9670a4beed1a47bda5628c9770dddfd1;2010-07-18;equivalent clair (jaccard 0.2, ancres ['MTGOX']), dates compatibles;;ch.I l.269-271
E009;ALREADY_IN_GRAPH;0.65;MtGox concentre pres de 70 pct des volumes (2010-2014);2010;2010;annee;poc;seuil;non;bitcoin;i*;InfrastructureEvent — Première bourse d’échange importante (MtGox);9670a4beed1a47bda5628c9770dddfd1;2010-07-18;equivalent clair (jaccard 0.09, ancres ['MTGOX']), dates compatibles;;ch.I l.269
E010;ALREADY_IN_GRAPH;0.65;MyBitcoin - premier portefeuille custodial;2010;2010;annee;poc;acte;non;bitcoin;iii;InfrastructureEvent — MyBitcoin (custodial wallet);30ea73371bad42b3b9e4b58649050ac4;;equivalent clair (jaccard 0.5, ancres ['MYBITCOIN']), dates compatibles;;ch.I n.74 l.607
E011;ALREADY_IN_GRAPH;0.75;Sequestre communautaire par Theymos (frais 1 pct);2010;2010;annee;poc;acte;non;bitcoin;iii*;InfrastructureEvent — Service de séquestre (escrow) offert par Theymos;babc9f23c57446c88626709f94707d80;2010-07-29;equivalent clair (jaccard 0.4, ancres ['THEYMOS']), dates compatibles;;ch.I n.75 l.609
E012;ALREADY_IN_GRAPH;0.75;Bitcoinmarket.com - premiere bourse et premiere cotation;2010-03-17;2010-03-17;jour;poc;acte;non;bitcoin;i*;InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);d2a8798b6f064140851367c98162f594;2010-03-17;equivalent clair (jaccard 0.29, ancres ['BITCOINMARKET']), dates compatibles;;ch.I n.75 l.609
E013;ALREADY_IN_GRAPH;0.65;Premier achat de bien physique (2 pizzas - 10000 BTC);2010-05-22;2010-05-22;jour;poc;acte;non;bitcoin;i;InfrastructureEvent — Premier tournoi de poker en ligne utilisant BTC;8c6f302ba7484a718a163a6747c81fa5;2010-03-10;equivalent clair (jaccard 0.1, ancres ['PREMIER']), dates compatibles;;ch.I n.75 l.609
E014;ALREADY_IN_GRAPH;0.75;Premier Faucet (Andresen - 50 BTC par visite);2010-06;2010-06;mois;poc;acte;non;bitcoin;i*;InfrastructureEvent — Bitcoin Faucet;0ec8d4683eb14f49a2b5dd37ac2c8858;2010-06;equivalent clair (jaccard 0.5, ancres ['FAUCET']), dates compatibles;;ch.I l.269
E015;ALREADY_IN_GRAPH;0.95;Bogue Value Overflow (CVE-2010-5139 - crise n 4);2010-08-15;2010-08-15;jour;poc;acte;oui (n 4);bitcoin;vi;Bitcoin CVE 2010-5139 (Value Overflow);273237e8600e4e289cd76da835a82e67;2010-08-15;equivalent clair (jaccard 0.62, ancres ['5139', 'OVERFLOW', 'VALUE']), dates compatibles;;ch.III l.221 + l.237
E016;ALREADY_IN_GRAPH;0.6;Slushpool - premier pool de minage cooperatif;2010-11-27;2010-11-27;jour;poc;acte;non;bitcoin;ii;InfrastructureEvent — Première pool de minage (Slush Pool);cc346d7c8cdf450ca81c1cd08d65b68c;2010-11-27;equivalent clair (jaccard 0.5, ancres aucune), dates compatibles;;ch.I l.315
E017;ALREADY_IN_GRAPH;0.75;BitLaundry - premier service de mixage;2010-12;2010-12;mois;poc;acte;non;bitcoin;iii;InfrastructureEvent — Service d’anonymisation BitLaundry;64a49803ef464d83a7ae3a674d180ca8;2010-09-01;equivalent clair (jaccard 0.5, ancres ['BITLAUNDRY']), dates compatibles;;ch.I n.74 l.607
E018;ALREADY_IN_GRAPH;0.95;Article PC World sur WikiLeaks - Bitcointalk sature;2010-12;2010-12;mois;poc;acte;non;bitcoin;iv*;InfrastructureEvent — Article PC World sur WikiLeaks/Bitcoin (decembre 2010);944c9169ed3d416f95bebdfd4b9b1d20;2010-12;equivalent clair (jaccard 0.57, ancres ['ARTICLE', 'PC', 'WIKILEAKS', 'WORLD']), dates compatibles;;ch.I l.273
E019;ALREADY_IN_GRAPH;0.75;Dernier message public de Nakamoto;2010-12-12;2010-12-12;jour;poc;acte;non;bitcoin;vi*;InfrastructureEvent — Retrait de Nakamoto (décembre 2010);ae0f729d88cf472db6b6aeb80783594f;2010-12;equivalent clair (jaccard 0.2, ancres ['NAKAMOTO']), dates compatibles;;ch.I l.113 + n.101 l.661
E020;ALREADY_IN_GRAPH;0.77;Parite 1 BTC = 1 dollar (saluee par Slashdot);2011;2011;annee;poc;seuil;non;bitcoin;i*;InfrastructureEvent — Parite BTC/$ (1$, debut 2011);a02861544b794d229d08dc36c935fc77;2011-02;equivalent clair (jaccard 0.67, ancres ['PARITE']), dates compatibles;;ch.I l.271
E021;ALREADY_IN_GRAPH;0.85;Lancement de Silk Road (Ulbricht);2011;2011;annee;poc;acte;non;bitcoin;i;InfrastructureEvent — Première place d’échange illégale (Silk Road);a089031b82eb4c67b2cfc686016a3820;2011-02-01;equivalent clair (jaccard 0.33, ancres ['ROAD', 'SILK']), dates compatibles;;ch.I l.279 + fig. n 6
E023;ALREADY_IN_GRAPH;0.75;WeUseCoins - media specialise d'education;2011;2011;annee;poc;acte;non;bitcoin;iv;InfrastructureEvent — Site d’éducation WeUseCoins;17c55315ca2a45db9d1dc895fcba105d;2011-03-25;equivalent clair (jaccard 0.4, ancres ['WEUSECOINS']), dates compatibles;;ch.I l.271 + fig. n 6
E024;ALREADY_IN_GRAPH;0.75;Electrum - premier portefeuille leger non custodial;2011;2011;annee;poc;acte;non;bitcoin;iii;InfrastructureEvent — Premier logiciel de portefeuille léger (Electrum);8bc6f2749a284bb7add34a1739cec310;2011-11-09;equivalent clair (jaccard 0.5, ancres ['ELECTRUM']), dates compatibles;;ch.I n.74 l.607
E026;ALREADY_IN_GRAPH;0.95;Article Forbes (Greenberg);2011-04;2011-04;mois;poc;acte;non;bitcoin;iv;InfrastructureEvent — Article Forbes sur Bitcoin (Greenberg, avril 2011);21e8e322b58f421aa3540bdeef5fde64;2011-04;equivalent clair (jaccard 0.67, ancres ['ARTICLE', 'FORBES', 'GREENBERG']), dates compatibles;;ch.I l.271
E027;ALREADY_IN_GRAPH;0.85;PayPal retire de Bitcoinmarket.com (fraudes);2011-06-04;2011-06-04;jour;poc;acte;non;bitcoin;i*;InfrastructureEvent — Retrait PayPal de BitcoinMarket (4 juin 2011);a6db42830f81475a8050e8315e295426;2011-06-04;equivalent clair (jaccard 0.4, ancres ['BITCOINMARKET', 'PAYPAL']), dates compatibles;;ch.I n.75 l.609
E028;ALREADY_IN_GRAPH;0.65;WikiLeaks annonce accepter les BTC;2011-06-14;2011-06-14;jour;poc;acte;non;bitcoin;i*;InfrastructureEvent — WikiLeaks accepte le BTC;78dda096c4364121988bd3fb9757c53e;;equivalent clair (jaccard 0.4, ancres ['WIKILEAKS']), dates compatibles;;ch.I l.271 + l.277
E029;ALREADY_IN_GRAPH;0.95;Flash crash MtGox (32 vers 0.01 dollar);2011-07;2011-07;mois;poc;acte;non;bitcoin;i*;InfrastructureEvent — Flash crash MtGox : 32$ vers 0,01$ (juillet 2011);4f57a750014849e6b8676b66ef2aadd2;2011-07;equivalent clair (jaccard 0.62, ancres ['FLASH', 'MTGOX', 'VERS0']), dates compatibles;;ch.I l.271
E030;ALREADY_IN_GRAPH;0.75;Pieces Casascius (stockage a froid numismatique);2011-09;2011-09;mois;poc;acte;non;bitcoin;iii;InfrastructureEvent — Lancement Casascius Physical Bitcoins (Mike Caldwell, 2011);b18c50643f6b4a59a9b06ff01ecf2e5c;2011;equivalent clair (jaccard 0.25, ancres ['CASASCIUS']), dates compatibles;;ch.I n.74 l.607
E031;ALREADY_IN_GRAPH;0.85;Lancement de Litecoin (C. Lee);2011-10;2011-10;mois;poc;acte;non;altcoin;vii;InfrastructureEvent — Lancement Litecoin (LTC) par Charlie Lee (2011);94ce188ef0534c1e8601226fc60163dd;2011-11-19;equivalent clair (jaccard 0.4, ancres ['LANCEMENT', 'LITECOIN']), dates compatibles;;ch.I l.359
E033;ALREADY_IN_GRAPH;0.75;SatoshiDice lance (Voorhees);2012;2012;annee;peche;acte;non;bitcoin;i;InfrastructureEvent — SatoshiDice (lancement 24 avril 2012);4af2142b31984dc280cf51546cf08e9c;2012-04-24;equivalent clair (jaccard 0.5, ancres ['SATOSHIDICE']), dates compatibles;;ch.I l.279 + fig. n 6
E035;ALREADY_IN_GRAPH;1.1;Lancement de la Fondation Bitcoin;2012;2012;annee;peche;acte;non;bitcoin;viii*;InfrastructureEvent — Fondation Bitcoin (fin 2012);f9f289de35d14463999022184a680479;2012;equivalent clair (jaccard 1.0, ancres ['FONDATION']), dates compatibles;;ch.I l.281 + n.84 l.627
E037;ALREADY_IN_GRAPH;0.85;Rapport BCE Virtual Currency Schemes;2012-10-29;2012-10-29;jour;peche;acte;non;transversal;v*;InfrastructureEvent — Rapport BCE sur les monnaies virtuelles (octobre 2012);75f5c97d0a2648aea297475fa514300a;2012-10-01;equivalent clair (jaccard 0.29, ancres ['BCE', 'RAPPORT']), dates compatibles;;ch.I l.281 + fig. n 6 (date)
E041;ALREADY_IN_GRAPH;0.95;Saisie de Silk Road (FBI) - arrestation d'Ulbricht;2013;2013;annee;peche;acte;non;bitcoin;v;Fermeture Silk Road par le FBI (octobre 2013);272f2d17b89d4912aca1c4f7b77b7332;2013;equivalent clair (jaccard 0.33, ancres ['FBI', 'ROAD', 'SILK']), dates compatibles;;ch.I l.281
E042;ALREADY_IN_GRAPH;0.75;Nasdaq publie des cotations agregees;2013;2013;annee;maturation;acte;non;bitcoin;i*;InfrastructureEvent — Nasdaq publie donnees de prix Bitcoin (fin 2013);62d87c74d3504d84bfee3d8d5fb44f4d;2013;equivalent clair (jaccard 0.29, ancres ['NASDAQ']), dates compatibles;;ch.I l.289
E045;ALREADY_IN_GRAPH;0.65;Crise chypriote - BTC valeur refuge a 230 dollars;2013-04;2013-04;mois;peche;seuil;non;bitcoin;i*;Crise BIP-0016 (Attaque P2SH);1204a4726caa4f95801cbb04aa5a1d3c;;equivalent clair (jaccard 0.11, ancres ['CRISE']), dates compatibles;;ch.I l.281
E046;ALREADY_IN_GRAPH;0.85;Attaque DDOS sur MtGox - chute a 76 dollars;2013-05;2013-05;mois;peche;acte;non;bitcoin;i*;Attaque DDoS MtGox (mai 2013);4e1a794249594b368e13e558174dea38;2013;equivalent clair (jaccard 0.5, ancres ['ATTAQUE', 'MTGOX']), dates compatibles;;ch.I l.281
E048;ALREADY_IN_GRAPH;0.85;Lancement du reseau Mastercoin - premiere ICO (5120 BTC);2013-07-31;2013-07-31;jour;peche;acte;non;altcoin;vii;InfrastructureEvent — Première ICO : Mastercoin (31 juillet 2013);cb4acdc336754f22840ba9a4192a941e;2013-07-31;equivalent clair (jaccard 0.67, ancres ['ICO', 'MASTERCOIN']), dates compatibles;;ch.I l.373
E049;ALREADY_IN_GRAPH;0.85;Audition au Senat americain (Bitcoin Foundation);2013-11-19;2013-11-19;jour;maturation;acte;non;bitcoin;v*;InfrastructureEvent — Audition Senat americain sur Bitcoin (19 nov. 2013);1a363b7013534bfd9bd949c6d69c4a19;2013-11-19;equivalent clair (jaccard 0.75, ancres ['AUDITION', 'SENAT']), dates compatibles;;ch.I l.293
E052;ALREADY_IN_GRAPH;0.95;Tether (USDT) - premier stablecoin dollar via Omni;2014;2014;annee;maturation;acte;non;altcoin;vii;InfrastructureEvent — Tether/USDT : premier stablecoin via Omni/Mastercoin (2014);364977fb9ed943a2bac1688d22ffe1c5;2014;equivalent clair (jaccard 0.57, ancres ['OMNI', 'TETHER', 'USDT']), dates compatibles;date non donnee dans le texte;ch.I l.373 + l.289 + n.87 l.633
E053;ALREADY_IN_GRAPH;0.75;Ledger apres Trezor - portefeuilles physiques;2014;2014;annee;maturation;acte;non;bitcoin;iii;InfrastructureEvent — Ledger (premier hardware wallet français, 2014);c4f2c47e95f2452daed330139fd8691f;2014;equivalent clair (jaccard 0.2, ancres ['LEDGER']), dates compatibles;;ch.I l.289
E054;ALREADY_IN_GRAPH;0.65;Annonce publique d'Ethereum (Miami);2014-01-26;2014-01-26;jour;maturation;acte;non;ethereum;vii;North American Bitcoin Conference (Miami 2014);344cef0c6643488946ab489f73e2e97f;;equivalent clair (jaccard 0.11, ancres ['MIAMI']), dates compatibles;;ch.I l.399
E055;ALREADY_IN_GRAPH;0.77;Faillite de MtGox;2014-02;2014-02;mois;maturation;acte;non;bitcoin;viii*;Hack et faillite MtGox (février 2014);63ef4f3d8f584d9b90e351ab7c7c4b39;2014;equivalent clair (jaccard 0.67, ancres ['MTGOX']), dates compatibles;localisation texte hors fichiers autorises;fig. n 6 + ch.I l.313
E056;ALREADY_IN_GRAPH;1.0;Ether Genesis Sale (42 jours - 31725 BTC);2014-07-22;2014-07-22;jour;maturation;acte;non;ethereum;vii;Ether Genesis Sale (ICO Ethereum 2014);d0f3f4e1a1796c486a136d142127c321;;equivalent clair (jaccard 1.0, ancres ['ETHER', 'GENESIS', 'SALE']), dates compatibles;;ch.I l.399
E058;ALREADY_IN_GRAPH;0.75;NYSE publie des cotations;2015;2015;annee;maturation;acte;non;bitcoin;i*;InfrastructureEvent — NYSE publie données de prix Bitcoin (2015);60fec4fa361140efbaa72b212c415e9f;2015;equivalent clair (jaccard 0.33, ancres ['NYSE']), dates compatibles;;ch.I l.289
E059;ALREADY_IN_GRAPH;0.75;Levee record Coinbase (75 M dollars);2015;2015;annee;maturation;acte;non;bitcoin;i*;InfrastructureEvent — Coinbase : croissance et levee de fonds 75M$ (2015);7cda4562e3ee4e9c8bf969bdf639994a;2015;equivalent clair (jaccard 0.33, ancres ['COINBASE']), dates compatibles;;ch.I n.90 l.639
E062;ALREADY_IN_GRAPH;0.85;Lancement d'Ethereum Frontier (mainnet);2015-07-20;2015-07-20;jour;maturation;acte;non;ethereum;vii;InfrastructureEvent — Lancement d'Ethereum (Frontier, 30 juillet 2015);3c3d4fec977c4e788b850a0ea5cbebfa;2015-07-30;equivalent clair (jaccard 0.5, ancres ['FRONTIER', 'LANCEMENT']), dates compatibles;fig. indique 30/07 - divergence avec le texte 20/07;ch.I l.399
E063;ALREADY_IN_GRAPH;0.65;Mise en ligne de The DAO - crowdsale de 28 jours;2016-04-30;2016-04-30;jour;maturation;acte;oui (sequence DAO);ethereum;vii;The DAO ICO;6b444dfd2cfe4786a214e3edef593d35;;equivalent clair (jaccard 0.14, ancres ['DAO']), dates compatibles;a verifier;ch.III l.549 + l.535-543
E064;ALREADY_IN_GRAPH;0.75;Appel a moratoire sur The DAO (papier d'alerte);2016-05;2016-05;mois;maturation;acte;oui (sequence DAO);ethereum;vii;Attaque de The DAO;c4eab4f4b3f54162b2404b3da684b840;2016-06-17;equivalent clair (jaccard 0.25, ancres ['DAO']), dates compatibles;;ch.III l.553-557
E065;ALREADY_IN_GRAPH;1.1;Attaque de The DAO (drainage des fonds);2016-06-17;2016-06-17;jour;maturation;acte;oui;ethereum;vii;Attaque de The DAO;c4eab4f4b3f54162b2404b3da684b840;2016-06-17;equivalent clair (jaccard 1.0, ancres ['ATTAQUE', 'DAO']), dates compatibles;;ch.III l.561 + l.565
E066;ALREADY_IN_GRAPH;0.65;Creation du depot GitHub Ethereum Classic;2016-07-10;2016-07-10;jour;maturation;acte;oui (sequence DAO);ethereum;vii;Secession Ethereum Classic;4d915f21188945fbb8c5b856f1362640;;equivalent clair (jaccard 0.4, ancres ['CLASSIC']), dates compatibles;;ch.III l.733
E067;ALREADY_IN_GRAPH;0.75;Hard Fork d'Ethereum (restitution des fonds);2016-07;2016-07;mois;maturation;acte;oui;ethereum;vii;Ethereum Hard Fork (juillet 2016);e2cdb978bbdd4119aa946a271051a753;;equivalent clair (jaccard 0.5, ancres ['FORK', 'HARD']), dates compatibles;date exacte a relever;ch.III section III.3 (l.657-731)
E068;ALREADY_IN_GRAPH;0.65;Adoption du ticker ETC - secession Ethereum Classic;2016-07-22;2016-07-22;jour;maturation;acte;oui (post-fork);ethereum;vii;Secession Ethereum Classic;4d915f21188945fbb8c5b856f1362640;;equivalent clair (jaccard 0.5, ancres ['CLASSIC']), dates compatibles;;ch.III l.735
E071;ALREADY_IN_GRAPH;0.75;Congestion - saturation des capacites et frais en hausse;2017;2017;annee;maturation;acte;non;bitcoin;ii*;Congestion du mempool et hausse des frais (2017);cd6241f420a940b6904326b1fa207646;2017;equivalent clair (jaccard 0.5, ancres ['CONGESTION']), dates compatibles;;ch.I l.293
E072;ALREADY_IN_GRAPH;1.1;Fork contentieux - creation de Bitcoin Cash;2017;2017;annee;maturation;acte;non;bitcoin;vi;InfrastructureEvent — Fork contentieux Bitcoin / Bitcoin Cash (aout 2017);318b090059f34be4b52d389f0b38c3a7;2017-08;equivalent clair (jaccard 1.0, ancres ['CASH', 'FORK']), dates compatibles;;ch.I l.295
E073;ALREADY_IN_GRAPH;0.75;Futures Bitcoin (CBOE et CME);2017;2017;annee;maturation;acte;non;bitcoin;i*;InfrastructureEvent — CBOE : marches futurs Bitcoin (2017);82349be91da44883961b469695426d85;2017;equivalent clair (jaccard 0.29, ancres ['CBOE']), dates compatibles;;ch.I l.289
E075;ALREADY_IN_GRAPH;0.75;Implementation du Lightning Network;2018;2018;annee;maturation;acte;non;bitcoin;vi;InfrastructureEvent — Lightning Labs (premiere implementation LN, mars 2018);2ec8857fa7a24c70804d6a3a3e9d4d55;2018-03;equivalent clair (jaccard 0.29, ancres ['LIGHTNING']), dates compatibles;;ch.I l.295
E077;ALREADY_IN_GRAPH;0.75;CVE-2018-17144 - divulgation responsable et correctif secret;2018-09;2018-09;mois;maturation;acte;oui;bitcoin;vi;Bitcoin CVE 2018-17144;db9a125c4c7a4d03bd19d3dc8c474a9e;2018-09-01;equivalent clair (jaccard 0.38, ancres ['17144']), dates compatibles;;ch.III l.11 + l.39 + l.476
