fichier;classement;nb_ops;types_ops;entites_ciblees;entites_existantes_v110;attributs_requis;dependances_registre;besoin_applicateur;risque_scientifique;justification
patch_16_section_creation_corps.json;applique;77;CREATE_ENTITY via new_entities (11) | CREATE_RELATION via new_relations (44) | rewire_relations (22);29;29;chapter, evidenceStatus, labelEn, labelFr, page_start, section_key;chapter=present, evidenceStatus=present, labelEn=present, labelFr=present, page_start=present, section_key=present;aucun (deja applique via scripts/make_v100_section_migration.py reutilise pour v106);aucun;Applique en v106 (depends_on patch_15, note space v106 : 11 sections canoniques creees, 22 rebranchements) : 11/11 entites vivantes, 44/44 relations, 22/22 rewires effectifs en v110.
patch_17_wire_chapter_I_tree.json;applique;16;CREATE_RELATION via new_relations (dialecte _meta + new_relations);7;7;aucun;s.o.;aucun (deja applique par scripts/make_v107_wire_chapter_I_tree.py);aucun;Applique en v107 (script dedie, note space v107) : 16/16 ids de relations presents en v110. Rattachement additif des 4 sections orphelines du chapitre I a l'arborescence section of / has section.
patch_18_bibliography_fixes.json;applique;22;SET_TYPES (21) | SET_NAME (1) (dialecte 2c sans attributeId);22;22;aucun;s.o.;aucun (deja applique par scripts/make_v110_apply_bib_and_attribute_patches.py);aucun;Applique en v110 (note space v110 : coquille Danezis + 21 retypages Reference -> Person confirmes par la bibliographie) : 22/22 effets verifies en v110.
patch_19_attribute_normalisation.json;applique;384;SET_ATTRIBUTE (358) | DELETE_ATTRIBUTE (26) (dialecte 2c);304;304;25 cles dont page_start, chapter, nameEn, labelEn, central_argument, concept_source, closedYear, foundedYear, compteurs Rauchs;les 25 cles = present (le registre v1 est construit apres application en memoire de patch_19 et le decrit comme etat normatif, les cles supprimees y restant status=deprecated);aucun (deja applique par scripts/make_v110_apply_bib_and_attribute_patches.py, invariant CI via scripts/check_graph_integrity.py);aucun;Applique en v110 : 384/384 effets verifies (358 normalisations + 26 suppressions). Normalisation mecanique sans arbitrage semantique, decrite par grc20-properties-registry-v1.json.
patch_1a_fix_cited_in.json;historique;44;REMOVE_RELATION (22) | ADD_RELATION (22) (dialecte operations, cle op, champs from_entity_id/to_entity_id);27;27;aucun;s.o.;aucun;aucun;Correctif cited_in de l'ere v72, integre sans script de tracabilite : 22/22 retraits effectifs (triplets absents) et 22/22 ajouts presents en v110.
patch_1b_missing_cited_in.json;historique;774;ADD_RELATION (dialecte operations, cle op, plus chapter_entity_ids et cited_in_relation_type_id en tete);209;208;aucun;s.o.;aucun;aucun;Ajout des cited_in multi-chapitres manquants (base declaree v72) : 770/774 triplets presents en v110, 1 entite cible disparue depuis. Integre de longue date.
patch_2a_sourcequote_subsections.json;historique;207;ADD_RELATION (dialecte operations, cle op, relation_type_id declare en tete);228;228;aucun;s.o.;aucun;aucun;Liaison SourceQuote -> sous-sections (appears in section) : 207/207 triplets presents en v110 et 228/228 entites vivantes. Integre.
patch_2b_central_arguments.json;historique;56;SET_ATTRIBUTE (dialecte B du constat C3 : enveloppe operations, cle op, entity_id/attribute_name, valeur nue);56;49;central_argument;central_argument=present (domaine ChapterSection/Concept/ThesisSection, 49 porteurs en v110);aucun;aucun;Pose de central_argument, integree : 49/56 entites portent l'attribut en v110, les 7 manquantes etant des entites cibles disparues depuis. Dialecte incompatible avec patch_2c, documente comme tel par grc20-dedup-events-audit-v1.md (C3).
patch_2c_definitions.json;historique;293;SET_ATTRIBUTE (dialecte A du constat C3 : schemaVersion + ops, cle type, value:{type,value} — devenu le dialecte canonique du depot);293;274;definition;definition=present;aucun;aucun;Integre et journalise : la cle ops du graphe reprend ces operations verbatim (274/293 en v110, les 19 manquantes etant les ops orphelines retirees par scripts/make_v101_drop_orphan_ops.py). 248/293 entites portent encore l'attribut.
patch_3a_intro_subsections.json;historique;71;CREATE_ENTITY via new_entities (22) | CREATE_RELATION via new_relations (44) | SET_ATTRIBUTE via update_entities (5);27;27;section_key, labelEn, labelFr, order, slug, slugPreferred, summary, thesisLocation, evidenceStatus;les 9 cles = present;aucun;aucun;Creation des 22 sous-sections d'introduction, integree : 22/22 entites vivantes et 44/44 ids de relations presents en v110.
patch_4_intro_key_entities.json;historique;111;CREATE_RELATION via new_relations (dialecte _meta + new_relations, ids precalcules);115;109;aucun;s.o.;aucun;aucun;Ancrage des cadres/arguments/concepts cles sur les sections d'intro : 108/111 ids de relations presents en v110, 6 entites cibles disparues depuis. Integre.
patch_4a_chapter_attribution.json;historique;99;CREATE_RELATION (dialecte nu {relations:[{id,from,type,to}]}, sans _meta ni description);102;102;aucun;s.o.;aucun;aucun;Attribution de chapitres, integree : 99/99 ids de relations et 99/99 triplets presents en v110. Vraisemblablement produit par scripts/generate_chapter_patch.mjs.
patch_5_missing_sections.json;historique;147;CREATE_RELATION via new_relations (dialecte _meta + new_relations);154;148;aucun;s.o.;aucun;aucun;Ancrage des entites semantiques sans section (concepts DLT, evenements de crise, methodes) : 143/147 ids de relations presents en v110, 6 entites cibles disparues. Integre.
patch_5a_corrective_anchoring.json;historique;62;CREATE_RELATION (dialecte nu {relations});52;52;aucun;s.o.;aucun;aucun;Ancrage correctif, integre : 62/62 ids de relations et triplets presents en v110. Produit par scripts/generate_corrective_patch.mjs.
patch_batch1_anchoring.json;historique;21;CREATE_RELATION (dialecte nu {relations});25;25;aucun;s.o.;aucun;aucun;Lot d'ancrage 1, integre : 21/21 ids de relations presents en v110. Produit par scripts/generate_corrective_patch_batch1.mjs (les generate_* produisent les patchs, ils ne les appliquent pas).
patch_batch2_anchoring.json;historique;16;CREATE_RELATION (dialecte nu {relations});20;20;aucun;s.o.;aucun;aucun;Lot d'ancrage 2, integre : 16/16 ids de relations presents en v110. Produit par scripts/generate_corrective_patch_batch2.mjs.
patch_batch3_relations.json;historique;51;CREATE_RELATION (dialecte nu {relations});49;49;aucun;s.o.;aucun;aucun;Lot de relations 3, integre : 51/51 ids de relations presents en v110. Produit par scripts/generate_corrective_patch_batch3.mjs.
patch_candidate_bibliographie_duplicates_v1.json;candidat-non-applique;156;SET_ATTRIBUTE (dialecte 2c, valeurs duplicateOf + reviewStatus=pending-author);78;78;duplicateOf, reviewStatus;duplicateOf=present-domaine-restreint, reviewStatus=present-domaine-restreint (le registre les limite a CrisisEvent/InfrastructureEvent, herites de patch_10 — ce patch les poserait sur des fiches Reference/AcademicWork/GreyLiterature/IndigenousLiterature, extension de domaine a arbitrer);dedie-a-ecrire (dialecte 2c consommable sur le modele make_v105/make_v110, mais aucun script ne cible ce fichier);faible;Candidat PR #112, policy CANDIDATE — NOT APPLIED — AUTHOR ARBITRATION REQUIRED, verifie : 0/156 effets en v110. Marquage reversible pending-author sans fusion ni suppression. Le choix des canoniques engagerait toutefois une future fusion, qui serait elle a risque eleve.
patch_candidate_bibliographie_missing_nodes_v1.json;candidat-non-applique;38;CREATE_ENTITY (dialecte descriptif : name + types + typeNames + attributes, sans id preassigne);0 (creations pures);0 (aucune collision de nom avec v110);source_entry;source_entry=absent du registre (cle nouvelle a declarer);dedie-a-ecrire (sa propre _meta constate qu'aucun applicateur du depot ne consomme CREATE_ENTITY, verifie par grep dans scripts/);moyen;Candidat PR #112, policy CANDIDATE — NOT APPLIED — AUTHOR ARBITRATION REQUIRED : 38 fiches bibliographiques nouvelles (entrees du PDF sans noeud). Creation de contenu inedit dans le graphe : validation d'auteur et controle anti-doublon requis avant application.
patch_candidate_bibliographie_retypes_v1.json;candidat-non-applique;10;SET_NAME (4) | SET_TYPES (6, Reference -> Person) (dialecte identique a patch_18);6;6;aucun;s.o.;dedie-a-ecrire (dialecte de patch_18, mais make_v110_apply_bib_and_attribute_patches.py est code v109 -> v110 et ne cible pas ce fichier);faible;Candidat PR #112, policy CANDIDATE — NOT APPLIED — AUTHOR ARBITRATION REQUIRED, verifie : 0/10 effets en v110. Renommages et retypages attestes par le PDF de la bibliographie (ex. Adli Takkal Bataille), reversibles unitairement.
patches/archive/grc20_anchor_overrides_targeted.json;archive;10;SET_ATTRIBUTE implicite (structure ad hoc safe_fix (9) + proposed_review (1), champs entity_id/primaryChapter/rationale, aucune cle d'operation);10;10;primaryChapter, secondaryChapters;primaryChapter=absent, secondaryChapters=absent (cles inconnues du registre et de v110 : 0 porteur);dedie-a-ecrire (aucun applicateur, structure hors de tous les dialectes);moyen;Patch documentaire base sur v93 (meta : prochaine injection controlee), jamais applique : 0/9 safe_fix conformes en v110. Le reancrage par attribut primaryChapter est anterieur et concurrent au mecanisme de charges realigne en v108-v109 — probablement perime, a reevaluer entierement avant toute application. ARBITRAGE Q7 (2026-08-07, Mael) : archive avec note de motifs (patches/archive/README.md), pas de reevaluation sauf preuve ulterieure d'un jugement d'auteur non repris par v108/v109.
patches/grc20_v97_remove_15_truncated_broken_relations.json;applique;15;REMOVE_RELATION via removed_relations (15) | kept_for_human_review (1 relation conservee pour arbitrage) — format de recu, pas de cle d'operation;6;6;aucun;s.o.;aucun (recu depose par scripts/make_v97_remove_truncated_broken_relations.py, status interne prepared_and_applied_to_v97);aucun;Recu de l'application v97 (retrait des 15 relations aux endpoints tronques) : les 15 relation_id sont absents de v110. La relation conservee pour revue humaine (endpoint 72d18270...) reste documentee dans docs/audits/grc20-v96-endpoint-72d182705407492c-investigation.md.
