seed_id,title,page_thesis,section_key,section_name,quote_text,suggested_links
sq_gap_intro_C1_01,Quote — le premier enjeu tient à la définition de l’objet CM comme infrastructure,34,intro_C_1,C.1. Enquêter sur la gouvernance des CM : contraintes et enjeux,Le premier enjeu tient à la définition de l’objet CM comme infrastructure au sens de Star (1999). Son périmètre large renvoie à une pluralité d’usages et à des pratiques disparates. Le tournant infrastructurel réclame d’« aller dans les coulisses » pour « faire remonter à la surface le travail invisible » qui s’y effectue.,Infrastructure | Méthodologie | Susan Leigh Star | Travail invisible
sq_gap_intro_C1_01,Quote — le premier enjeu tient à la définition de l’objet CM comme infrastructure,34,intro_C_1a,C.1.a. Enjeux méthodologiques,Le premier enjeu tient à la définition de l’objet CM comme infrastructure au sens de Star (1999). Son périmètre large renvoie à une pluralité d’usages et à des pratiques disparates. Le tournant infrastructurel réclame d’« aller dans les coulisses » pour « faire remonter à la surface le travail invisible » qui s’y effectue.,Infrastructure | Méthodologie | Susan Leigh Star | Travail invisible
sq_gap_intro_C1_02,Quote — la relation enquêteur-enquêtés devient plurielle,36,intro_C_1,C.1. Enquêter sur la gouvernance des CM : contraintes et enjeux,"L’enquête ethnographique mène le chercheur, au même titre que les enquêtés, à s’impliquer activement. Cette implication mutuelle détermine en partie la forme et le contenu des relations, et influence les résultats que le chercheur en tire.",Ethnographie | Relation enquêteur-enquêtés | Méthodologie
sq_gap_intro_C1_02,Quote — la relation enquêteur-enquêtés devient plurielle,36,intro_C_1b,C.1.b. La relation enquêteur-enquêtés,"L’enquête ethnographique mène le chercheur, au même titre que les enquêtés, à s’impliquer activement. Cette implication mutuelle détermine en partie la forme et le contenu des relations, et influence les résultats que le chercheur en tire.",Ethnographie | Relation enquêteur-enquêtés | Méthodologie
sq_gap_intro_C2_01,Quote — les recherches exploratoires ont d’abord été menées par voie documentaire,43,intro_C_2,C.2. Stratégie d'accès et matériaux de terrain récoltés,"Les recherches exploratoires ont d’abord été menées grâce à une recherche documentaire mobilisant des sources et matériaux hétérogènes : différents types de littérature (académique, grise et indigène), mais aussi différents types de documents et données accessibles en ligne.",Recherche documentaire | Littérature grise | Littérature indigène | Méthodologie
sq_gap_intro_C2_01,Quote — les recherches exploratoires ont d’abord été menées par voie documentaire,43,intro_C_2a,C.2.a. La face « en ligne » des CM : de la recherche documentaire à l'immersion participante,"Les recherches exploratoires ont d’abord été menées grâce à une recherche documentaire mobilisant des sources et matériaux hétérogènes : différents types de littérature (académique, grise et indigène), mais aussi différents types de documents et données accessibles en ligne.",Recherche documentaire | Littérature grise | Littérature indigène | Méthodologie
sq_gap_intro_C2_01,Quote — les recherches exploratoires ont d’abord été menées par voie documentaire,43,intro_C_2b,C.2.b. « Creuser au fond du terrier » : les recherches documentaires,"Les recherches exploratoires ont d’abord été menées grâce à une recherche documentaire mobilisant des sources et matériaux hétérogènes : différents types de littérature (académique, grise et indigène), mais aussi différents types de documents et données accessibles en ligne.",Recherche documentaire | Littérature grise | Littérature indigène | Méthodologie
sq_gap_intro_C2_02,Quote — le point d’entrée des immersions participantes,44,intro_C_2,C.2. Stratégie d'accès et matériaux de terrain récoltés,"Le point d’entrée de nos expériences immersives fut l’acquisition et l’utilisation de nos premières UCN BTC. Étant donné que nous étions encore réticent à acheter du bitcoin en euro via une bourse d’échange, ces premières UCN furent gagnées par notre « travail », via des sites de « faucet ».",Immersion participante | UCN BTC | Faucet | Bourse d’échange
sq_gap_intro_C2_02,Quote — le point d’entrée des immersions participantes,44,intro_C_2c,C.2.c. S'approcher des acteurs non humains : des immersions participantes fructueuses,"Le point d’entrée de nos expériences immersives fut l’acquisition et l’utilisation de nos premières UCN BTC. Étant donné que nous étions encore réticent à acheter du bitcoin en euro via une bourse d’échange, ces premières UCN furent gagnées par notre « travail », via des sites de « faucet ».",Immersion participante | UCN BTC | Faucet | Bourse d’échange
sq_gap_intro_C2_03,Quote — observations participantes et entretiens hors ligne,46,intro_C_2,C.2. Stratégie d'accès et matériaux de terrain récoltés,"Dans le « réel », nous avons réalisé 27 observations pour un temps moyen passé de 4 heures 30. […] Après quelques entretiens, très ouverts et sur des questions génériques, réalisés dans un cercle de connaissances proches, nous avons approché des acteurs plus directement en lien avec les crises étudiées pour des entretiens plus directifs.",Observations participantes | Entretiens | Méthodologie | Terrain hors ligne
sq_gap_intro_C2_03,Quote — observations participantes et entretiens hors ligne,46,intro_C_2d,C.2.d. L'envers « hors ligne » : observations et entretiens,"Dans le « réel », nous avons réalisé 27 observations pour un temps moyen passé de 4 heures 30. […] Après quelques entretiens, très ouverts et sur des questions génériques, réalisés dans un cercle de connaissances proches, nous avons approché des acteurs plus directement en lien avec les crises étudiées pour des entretiens plus directifs.",Observations participantes | Entretiens | Méthodologie | Terrain hors ligne
sq_gap_intro_C2_03,Quote — observations participantes et entretiens hors ligne,46,intro_C_2e,C.2.e. Observations participantes hors ligne,"Dans le « réel », nous avons réalisé 27 observations pour un temps moyen passé de 4 heures 30. […] Après quelques entretiens, très ouverts et sur des questions génériques, réalisés dans un cercle de connaissances proches, nous avons approché des acteurs plus directement en lien avec les crises étudiées pour des entretiens plus directifs.",Observations participantes | Entretiens | Méthodologie | Terrain hors ligne
sq_gap_intro_C2_03,Quote — observations participantes et entretiens hors ligne,46,intro_C_2f,C.2.f. Entretiens,"Dans le « réel », nous avons réalisé 27 observations pour un temps moyen passé de 4 heures 30. […] Après quelques entretiens, très ouverts et sur des questions génériques, réalisés dans un cercle de connaissances proches, nous avons approché des acteurs plus directement en lien avec les crises étudiées pour des entretiens plus directifs.",Observations participantes | Entretiens | Méthodologie | Terrain hors ligne
sq_gap_II31_01,Quote — un concept de gouvernance problématique,187,II.3.1,II.3.1 — Du concept de gouvernance et de sa polysémie : un concept normatif,"Le concept de gouvernance, centrale dans cette thèse et dans les critiques des CM qu’il nous reste à présenter, apparaît problématique dans ses acceptions académiques (plurielles et contradictoires). Son contenu sémantique, ses fondations épistémologiques comme ses usages font débat.",Gouvernance | II.3.1 | Concept de gouvernance
sq_gap_II31_02,Quote — la gouvernance comme outil heuristique positif,190,II.3.1,II.3.1 — Du concept de gouvernance et de sa polysémie : un concept normatif,"Retourné positivement, le concept de gouvernance permet de faire resurgir analytiquement autorité, pouvoir, conflit, en un mot : le politique. Appliqué aux CM, il invite par l’empirie à aller au-delà des postulats partagés par les coiners et leurs détracteurs, ceux d’une absence de gouvernance autre que celle offerte par les codes protocolaires.",Gouvernance | Pouvoir | Conflit | Politique
sq_gap_III22_01,"Quote — traiter des crises, c’est traiter les marques de leur fabrication",243,III.2.2,III.2.2 — Enjeux des crises Bitcoin : labélisations indigènes et exemples historiques,"Nos recherches sur le Bogue CVE 2018 #17144 nous ont conduit à mettre au jour le nombre important de crises protocolaires que Bitcoin et sa communauté ont eu à essuyer. […] Traiter des crises, c’est d’abord traiter les marques de leur fabrication et de leur gouvernance.",Bitcoin CVE 2018-17144 | Crises protocolaires | Gouvernance de crise
sq_gap_III22_02,Quote — la labélisation indigène normalise les vulnérabilités,244,III.2.2,III.2.2 — Enjeux des crises Bitcoin : labélisations indigènes et exemples historiques,"Construite pratiquement, cette labélisation permet de catégoriser l’ensemble des bogues/failles passés ou futurs de Bitcoin. Chaque label dessine les frontières de grands types de crises protocolaires et des actions pathologiques induites.",Labélisation indigène | Vulnérabilité | Bitcoin Wiki | CVE (Common Vulnerabilities & Exposures)
