entity,current_type,current_chapter,proposed_type,proposed_primaryChapter,proposed_primarySection_hint,proposed_column,status,rationale
InfrastructureEvent — Bitcoin XT : fork Big Blockers (2015),InfrastructureEvent,Chap.II,InfrastructureEvent,Chap.II,II.3,Gouvern.,RETYPE_REVIEW,Better treated as governance conflict/process artifact than generic infrastructure event.
InfrastructureEvent — Op_Return War (conflit sur les usages non-monétaires de Bitcoin),InfrastructureEvent,Chap.II,GovernanceConflict,Chap.II,II.3,Gouvern.,RETYPE_REVIEW,Conflict over uses/governance rather than plain infrastructure event.
Op_Return War,CrisisEvent,Chap.I,GovernanceConflict,Chap.II,II.3,Gouvern.,RETYPE_REVIEW,"Should likely be normalized with OP_RETURN governance conflict, not duplicated as chapter I crisis."
Campagne de financement Ethereum (ICO 2014),InfrastructureEvent,Chap.III,InfrastructureEvent,Chap.I,I.3,Objets,SAFE_FIX,"Ethereum emergence, not chapter III crisis governance."
Ether Genesis Sale (ICO Ethereum 2014),InfrastructureEvent,Chap.III,InfrastructureEvent,Chap.I,I.3,Objets,SAFE_FIX,Ethereum emergence in chapter I.3.
"Frontier (lancement mainnet Ethereum, juillet 2015)",InfrastructureEvent,Chap.III,InfrastructureEvent,Chap.I,I.3,Objets,SAFE_FIX,Ethereum launch belongs to chapter I.3.
"InfrastructureEvent — Lancement d'Ethereum (Frontier, 30 juillet 2015)",InfrastructureEvent,Chap.III,InfrastructureEvent,Chap.I,I.3,Objets,SAFE_FIX,Ethereum launch belongs to chapter I.3.
InfrastructureEvent — Levee de fonds Ethereum en BTC (2014),InfrastructureEvent,Chap.III,InfrastructureEvent,Chap.I,I.3,Objets,SAFE_FIX,Ethereum emergence belongs to chapter I.3.
Migration DApps Counterparty vers Ethereum (2014-2015),InfrastructureEvent,Chap.III,InfrastructureEvent,Chap.I,I.3,Objets,REVIEW,Likely part of Ethereum emergence/recomposition rather than chapter III.
"The Merge (transition Ethereum PoW → PoS, septembre 2022)",InfrastructureEvent,Chap.III,InfrastructureEvent,Chap.III,III.* or later conclusion,Objets,KEEP_REVIEW,Late Ethereum governance/infrastructure event may stay chapter III if used there.
Phase de preuve de concept,DevelopmentPhase,Chap.III,DevelopmentPhase,Chap.I,I.1,Objets,SAFE_FIX,"Phase sequence belongs to developmental chapter, not crisis chapter."
Phase de péché,DevelopmentPhase,Conclu.,DevelopmentPhase,Chap.I,I.2,Objets,SAFE_FIX,"Phase sequence belongs to developmental chapter, not conclusion."
Phase de maturation,DevelopmentPhase,Chap.I,DevelopmentPhase,Chap.I,I.3 or late chapter I,Objets,KEEP_REVIEW,"Likely already in correct developmental chapter, but section hint should be checked."
Gouvernance polycentrique,Concept,Chap.II ★,CoreConcept,Chap.II,II.3,Concepts,KEEP_CONFIRM,Anchor is correct; elevate to core concept.
Gouvernance duale,Concept,Intro,CoreConcept,Chap.II,II.3 (secondary Chap.III),Concepts,REVIEW,Introduced conceptually in intro but substantively developed with De Filippi/Loveluck and later crises.
Gouvernance duale (CM),Concept,Intro,CoreConcept,Chap.II,II.3 (secondary Chap.III),Concepts,MERGE_REVIEW,Merge with Gouvernance duale and re-anchor.
Politique de crise,Concept,Intro,CoreConcept,Chap.III,III.2,Gouvern.,SAFE_FIX,Main elaboration belongs to chapter III.
Politique de crises,Concept,Intro,CoreConcept,Chap.III,III.2,Gouvern.,MERGE_REVIEW,Merge with Politique de crise and re-anchor.
Gouvernance de huis clos,Concept,Chap.III,CoreConcept,Chap.III,III.1 / III.2,Gouvern.,KEEP_CONFIRM,Correctly tied to chapter III.
II.3 Au‑delà de la revendication d’une absence de gouvernance !,Concept,Intro,ChapterSection,Chap.II,II.3,Struct.,RETYPE_REVIEW,Section title mis-modeled as concept.
III.3 Une gouvernance publique d’exception : le hard fork d’Ethereum consécutif à l’attaque de “The DAO”,Concept,Intro,ChapterSection,Chap.III,III.3,Struct.,RETYPE_REVIEW,Section title mis-modeled as concept.
Mise en crise / Remise en ordre,Concept,Intro,CoreConcept,Chap.III,III.1-III.3,Gouvern.,SAFE_FIX,Main elaboration belongs to crisis-governance chapter III.
Crises comme épreuves d’explicitation (non téléologiques),Argument,Intro,Argument,Intro,Introduction générale,Struct.,KEEP_CONFIRM,Introductory master argument is correctly intro-anchored.
Bitmain,Person,Chap.II,Organization,Chap.II,II.3,Acteurs,SAFE_FIX,Organization mis-typed as person.
CEX.io,Person,Chap.I,Organization,Chap.I,I.2,Acteurs,SAFE_FIX,Platform mis-typed as person.
Desmedt et Lakomski-Laguerre,Person,Chap.II,Reference,Chap.II,II.*,Réf./Sources,SAFE_FIX,Co-authored bibliographic reference mis-typed as person.
Theymos,Person,Chap.I,Person,Chap.II,II.3,Acteurs,MERGE_REVIEW,Merge with 'Theymos (administrateur BitcoinTalk)' and place near governance arenas.
Theymos (administrateur BitcoinTalk),Person,Chap.II,Person,Chap.II,II.3,Acteurs,MERGE_REVIEW,Canonical actor label should merge with Theymos.
Pieter Wuille,Person,Chap.III,Person,Chap.III,III.1 / III.2,Acteurs,CANONICAL_RENAME_REVIEW,Should be canonicalized to Peter Wuille if project standard prefers common form.
Luke-Jr (Luke Dashjr),Person,—,Person,Chap.III,III.*,Acteurs,MERGE_REVIEW,Merge with Luke Dashjr and place as acting person.
De la sphère d'usage (financière & réelle),InfrastructureDomain,Chap.II,InfrastructureDomain,Chap.II,II.*,Objets,KEEP_CONFIRM,This domain fits monetization and usages chapter II.
Du protocole Bitcoin (couche 1 et 2),InfrastructureDomain,Chap.II,InfrastructureDomain,Chap.I,I.1 / I.2,Objets,REVIEW,Protocol layer as object likely belongs earlier than chapter II.
Développement protocolaire et logiciel (Bitcoin Core),InfrastructureSegment,Chap.II,InfrastructureSegment,Chap.I,I.2,Objets,REVIEW,May belong to infrastructural development chapter I rather than chapter II.
Marchands acceptant le Bitcoin,InfrastructureSegment,Chap.II,InfrastructureSegment,Chap.I,I.2,Objets,REVIEW,Could sit in chapter I.2 development of uses; chapter II secondary for monetization.
Minage,InfrastructureSegment,Chap.III,InfrastructureSegment,Chap.I,I.1 / I.2,Objets,REVIEW,Mining as infrastructural segment likely belongs earlier; chapter III may address crisis/governance aspects secondarily.
