scope,view,target,rule_type,current_issue,proposed_rule,priority,status,rationale
interaction,all,Node size in explode,size_policy,everything enlarged equally reduces differentiation,enlarge only key nodes and selected labels modestly; keep others near base size,medium,IMPLEMENT,Hierarchy should remain visible.
interaction,all,Animation,transition,long drifting animations reduce control,"short, stable transitions; no prolonged floating after focus apply",medium,IMPLEMENT,"Graph should feel controlled, not decorative."
homepage,entry cards,governance card,editorial_rule,generic subtext under-expresses thesis,make visible: analytic question + entity families + reading promise,high,IMPLEMENT,Entry cards should teach the map before opening it.
homepage,entry cards,concept card,editorial_rule,concept card reads like generic theory menu,"frame as architecture of analysis, not list of concepts",high,IMPLEMENT,Concepts structure the inquiry.
homepage,entry cards,crisis card,editorial_rule,crisis card can sound event-based only,frame crises as governance-revealing episodes,high,IMPLEMENT,This is a central thesis claim.
homepage,entry cards,protocol/infrastructure card,editorial_rule,protocol card risks sounding purely technical,"stress mediations, intermediaries and socio-technical extensions",high,IMPLEMENT,"Protocols are studied as worlds, not just code."
rebalance,all matrix views,cell shape,cloud_texture,cells now read as heavy bricks rather than breathing clouds,center irregular porous clouds inside each cell with internal margins,high,IMPLEMENT,"Restore the older, more organic visual breathing while keeping new structure."
rebalance,all matrix views,cell occupancy,visual_budget,"all entities are shown at same intensity, causing overloaded blocks","apply visual budget per cell: key nodes foreground, secondary nodes background, optional aggregation",high,IMPLEMENT,Information should not all compete equally.
rebalance,all matrix views,reference zones,porosity,reference columns become terminal walls,keep reference areas porous with lighter halos and stricter label selection,medium,IMPLEMENT,References need terminal separation without becoming visual sludge.
rebalance,all matrix views,crisis zones,aeration,crisis areas become too compact and alarming,extra spacing + cluster logic + fewer simultaneous labels,medium,IMPLEMENT,Crises should stay legible and analytically segmented.
rebalance,all matrix views,concept zones,hierarchy,core concepts and technical concepts weigh the same visually,give core concepts slightly larger nodes and more persistent labels,medium,IMPLEMENT,Analytic hierarchy must be visible.
